Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-03-21T22:00:00Z,12820.75,12822,12803.25,12814.75,339,12814.5,125
MNQ,2021-03-21T22:00:05Z,12813.25,12818.25,12813.25,12817.25,54,12815.55,39
MNQ,2021-03-21T22:00:10Z,12817.75,12829,12817.75,12827,85,12825.525,55
MNQ,2021-03-21T22:00:15Z,12825,12825.5,12821,12825.5,74,12822.725,51
MNQ,2021-03-21T22:00:20Z,12824,12825.5,12821.5,12823,44,12823.675,29
MNQ,2021-03-21T22:00:25Z,12821.5,12822.75,12817.25,12818.25,42,12819.775,32
MNQ,2021-03-21T22:00:30Z,12817.75,12817.75,12810.25,12812.5,57,12813.55,44
MNQ,2021-03-21T22:00:35Z,12812,12812,12804.25,12806.25,83,12807.475,67
MNQ,2021-03-21T22:00:40Z,12806,12806.25,12803,12804,63,12804.55,51
MNQ,2021-03-21T22:00:45Z,12804.5,12808.25,12802.75,12804.5,83,12805.2,55
MNQ,2021-03-21T22:00:50Z,12804.75,12808.75,12804.25,12807.25,39,12806.675,29
MNQ,2021-03-21T22:00:55Z,12807.25,12808,12805,12805.25,50,12806.15,30
MNQ,2021-03-21T22:01:00Z,12804.5,12804.5,12792.25,12794.75,237,12798.275,144
MNQ,2021-03-21T22:01:05Z,12793.75,12799.25,12793.25,12797,110,12796.075,67
MNQ,2021-03-21T22:01:10Z,12797.25,12797.75,12795.75,12797.25,44,12797,30
MNQ,2021-03-21T22:01:15Z,12797,12798,12795,12797,47,12796.25,38
MNQ,2021-03-21T22:01:20Z,12797.25,12803,12796.25,12803,45,12799.1,30
MNQ,2021-03-21T22:01:25Z,12801.25,12804.25,12801.25,12802.5,48,12802.825,39
MNQ,2021-03-21T22:01:30Z,12803,12803.25,12800,12800.25,40,12801.825,27
MNQ,2021-03-21T22:01:35Z,12800.25,12800.75,12796.75,12797.75,43,12798.6,31
MNQ,2021-03-21T22:01:40Z,12797.75,12798.75,12796.75,12797.5,23,12797.75,17
MNQ,2021-03-21T22:01:45Z,12798.5,12798.75,12796.5,12796.5,34,12797.525,22
MNQ,2021-03-21T22:01:50Z,12797.5,12797.75,12795.75,12797,51,12796.6,28
MNQ,2021-03-21T22:01:55Z,12796.75,12801.5,12795.75,12800,57,12798.825,39
MNQ,2021-03-21T22:02:00Z,12800,12803.25,12800,12802.5,21,12802,17
MNQ,2021-03-21T22:02:05Z,12802.5,12803,12800,12800,29,12801.5,21
MNQ,2021-03-21T22:02:10Z,12800.25,12801.75,12800,12801.75,32,12800.875,23
MNQ,2021-03-21T22:02:15Z,12802,12802,12800.75,12801,17,12801.375,11
MNQ,2021-03-21T22:02:20Z,12801.75,12804,12801.75,12802,48,12802.95,34
MNQ,2021-03-21T22:02:25Z,12803,12803.25,12800.75,12801.25,20,12802.075,15
MNQ,2021-03-21T22:02:30Z,12800.75,12803.5,12800.75,12802.75,23,12802.1,18
MNQ,2021-03-21T22:02:35Z,12803.25,12804,12802.75,12804,13,12803.45,12
MNQ,2021-03-21T22:02:40Z,12804,12804.25,12802,12802,33,12802.875,14
MNQ,2021-03-21T22:02:45Z,12802.25,12804,12802.25,12804,15,12803.225,9
MNQ,2021-03-21T22:02:50Z,12803,12803,12801.5,12802.75,37,12802.275,18
MNQ,2021-03-21T22:02:55Z,12802.5,12803.5,12802.25,12802.5,12,12802.825,8
MNQ,2021-03-21T22:03:00Z,12803.5,12805.5,12802.75,12804.75,49,12804.6,26
