Ticker,Date,Type
CRIS,12/8/2020,Gainer
LXRX,12/8/2020,Gainer
NURO,12/8/2020,Gainer
SFIX,12/8/2020,Gainer
TUSK,12/8/2020,Gainer
GLSI,12/9/2020,Gainer
XBIO,12/9/2020,Gainer
CNET,12/9/2020,Gainer
NTEC,12/9/2020,Gainer
RCON,12/9/2020,Gainer
TPGY U,12/11/2020,Gainer
TPGY,12/11/2020,Gainer
SNOA,12/11/2020,Gainer
VTVT,12/11/2020,Gainer
HJLI,12/11/2020,Gainer
BCDA,12/14/2020,Gainer
ARVN,12/14/2020,Gainer
BRPAU,12/14/2020,Gainer
ANPC,12/14/2020,Gainer
VERU,12/14/2020,Gainer
AIRC,12/15/2020,Gainer
CCM,12/15/2020,Gainer
ANCN,12/15/2020,Gainer
PRVL,12/15/2020,Gainer
BCDA,12/15/2020,Gainer
AIV,12/15/2020,Loser
CTK,12/15/2020,Loser
CLEU,12/15/2020,Loser
MIND,12/15/2020,Loser
BRPAU,12/15/2020,Loser
WNW,12/16/2020,Gainer
NXTD,12/16/2020,Gainer
AEMD,12/16/2020,Gainer
MDIA,12/16/2020,Gainer
EQOS,12/16/2020,Gainer
CCM,12/16/2020,Loser
VTVT,12/16/2020,Loser
MCEP,12/16/2020,Loser
LACQU,12/16/2020,Loser
TBIO,12/16/2020,Loser
AMPE,12/18/2020,Gainer
FEYE,12/18/2020,Gainer
ZOM,12/18/2020,Gainer
BEST,12/18/2020,Gainer
UAVS,12/18/2020,Gainer
SCPS,12/18/2020,Loser
MESO,12/18/2020,Loser
SWI,12/18/2020,Loser
BB,12/18/2020,Loser
WPG,12/18/2020,Loser
NK,12/21/2020,Gainer
EH,12/21/2020,Gainer
EDIT,12/21/2020,Gainer
RP,12/21/2020,Gainer
QS,12/21/2020,Gainer
AAU,12/21/2020,Loser
SCPS,12/21/2020,Loser
SESN,12/21/2020,Loser
QTNT,12/21/2020,Loser
IMGN,12/21/2020,Loser
AHT,12/22/2020,Loser
SCPS,12/22/2020,Loser
ITP,12/22/2020,Loser
MNKD,12/22/2020,Loser
DS,12/22/2020,Loser
MVIS,12/22/2020,Gainer
SPWH,12/22/2020,Gainer
QS,12/22/2020,Gainer
CLNE,12/22/2020,Gainer
AMTX,12/22/2020,Gainer
SENS,12/24/2020,Gainer
CEI,12/24/2020,Gainer
STIC,12/24/2020,Gainer
AMPE,12/24/2020,Gainer
TRIT,12/24/2020,Gainer
OGEN,12/24/2020,Loser
UAVS,12/24/2020,Loser
EMAN,12/24/2020,Loser
FUBO,12/24/2020,Loser
MTL PR,12/24/2020,Loser
UUU,12/28/2020,Gainer
DNN,12/28/2020,Gainer
UAMY,12/28/2020,Gainer
UUUU,12/28/2020,Gainer
EH,12/28/2020,Gainer
ARCT,12/28/2020,Loser
ACY,12/28/2020,Loser
AMPE,12/28/2020,Loser
CVAC,12/28/2020,Loser
UTSI,12/28/2020,Loser
UUU,12/29/2020,Gainer
EQ,12/29/2020,Gainer
MTBN,12/29/2020,Gainer
PBI,12/29/2020,Gainer
TGC,12/29/2020,Gainer
ARCT,12/29/2020,Loser
ACY,12/29/2020,Loser
AMPE,12/29/2020,Loser
MASS,12/29/2020,Loser
RMG,12/29/2020,Loser
ACY,12/31/2020,Gainer
CAN,12/31/2020,Gainer
LC,12/31/2020,Gainer
DRAD,12/31/2020,Gainer
EBON,12/31/2020,Gainer
FUBO,12/31/2020,Loser
RMO,12/31/2020,Loser
QS,12/31/2020,Loser
MVIS,12/31/2020,Loser
FGF,12/31/2020,Loser
