Symbol,Time
IWM,2022-01-03T22:29:48.225263Z
SPY,2022-01-03T22:28:24.240228Z
QQQ,2022-01-03T22:27:18.202455Z
ARKX,2022-01-03T22:26:12.393984Z
ARKF,2022-01-03T22:25:06.198707Z
ARKK,2022-01-03T22:23:48.411097Z
M2K,2022-01-03T22:22:24.387100Z
MES,2022-01-03T22:21:30.357370Z
MNQ,2022-01-03T22:20:42.586250Z
IWM,2022-01-01T03:50:30.770785Z
SPY,2022-01-01T03:49:18.578184Z
QQQ,2022-01-01T03:47:54.677335Z
ARKX,2022-01-01T03:46:30.143492Z
ARKF,2022-01-01T03:45:18.512495Z
ARKK,2022-01-01T03:44:00.308019Z
M2K,2022-01-01T03:42:31.400660Z
MES,2022-01-01T03:40:37.170407Z
MNQ,2022-01-01T03:38:48.933750Z
IWM,2021-12-31T03:33:30.521607Z
SPY,2021-12-31T03:32:42.284791Z
QQQ,2021-12-31T03:32:12.413413Z
ARKX,2021-12-31T03:31:30.556368Z
ARKF,2021-12-31T03:30:48.028361Z
ARKK,2021-12-31T03:30:18.831364Z
M2K,2021-12-31T03:29:36.711077Z
MES,2021-12-31T03:28:30.952130Z
MNQ,2021-12-31T03:27:31.084614Z
IWM,2021-12-30T04:40:46.995124Z
SPY,2021-12-30T04:39:58.842953Z
QQQ,2021-12-30T04:39:28.758387Z
ARKX,2021-12-30T04:38:47.028402Z
ARKF,2021-12-30T04:37:58.478077Z
ARKK,2021-12-30T04:37:29.007379Z
M2K,2021-12-30T04:36:47.370130Z
MES,2021-12-30T04:35:47.402387Z
MNQ,2021-12-30T04:35:20.532253Z
IWM,2021-12-29T05:20:36.204358Z
SPY,2021-12-29T05:19:54.242045Z
QQQ,2021-12-29T05:19:24.689978Z
ARKX,2021-12-29T05:18:36.508351Z
ARKF,2021-12-29T05:18:06.122220Z
ARKK,2021-12-29T05:17:24.812378Z
M2K,2021-12-29T05:16:42.492372Z
MES,2021-12-29T05:15:31.080519Z
MNQ,2021-12-29T05:14:25.117667Z
IWM,2021-12-28T04:25:19.160614Z
SPY,2021-12-28T04:24:37.150208Z
QQQ,2021-12-28T04:24:07.614324Z
ARKX,2021-12-28T04:23:19.322868Z
ARKF,2021-12-28T04:22:43.271879Z
ARKK,2021-12-28T04:22:07.688145Z
M2K,2021-12-28T04:21:19.932204Z
MES,2021-12-28T04:20:13.784612Z
MNQ,2021-12-28T04:19:08.551026Z
IWM,2021-12-24T03:39:33.218581Z
SPY,2021-12-24T03:38:21.622032Z
QQQ,2021-12-24T03:37:15.248224Z
ARKX,2021-12-24T03:35:33.058063Z
ARKF,2021-12-24T03:34:21.311229Z
ARKK,2021-12-24T03:33:15.676163Z
M2K,2021-12-24T03:31:27.760567Z
MES,2021-12-24T03:29:33.915335Z
MNQ,2021-12-24T03:27:45.908748Z
IWM,2021-12-23T01:05:45.100676Z
SPY,2021-12-23T01:04:51.128465Z
QQQ,2021-12-23T01:04:03.466188Z
ARKX,2021-12-23T01:03:45.129982Z
ARKF,2021-12-23T01:02:50.994529Z
ARKK,2021-12-23T01:02:09.264465Z
M2K,2021-12-23T01:01:45.542197Z
MES,2021-12-23T01:00:45.420137Z
MNQ,2021-12-23T00:59:49.290579Z
IWM,2021-12-22T01:54:08.633046Z
SPY,2021-12-22T01:53:26.887885Z
QQQ,2021-12-22T01:52:38.596119Z
ARKX,2021-12-22T01:52:20.865184Z
ARKF,2021-12-22T01:51:26.523163Z
ARKK,2021-12-22T01:50:38.826612Z
M2K,2021-12-22T01:50:21.347348Z
MES,2021-12-22T01:49:20.878645Z
MNQ,2021-12-22T01:48:21.302140Z
IWM,2021-12-20T22:56:26.250992Z
SPY,2021-12-20T22:55:02.574890Z
QQQ,2021-12-20T22:53:50.706165Z
ARKX,2021-12-20T22:52:44.338904Z
ARKF,2021-12-20T22:51:38.587353Z
ARKK,2021-12-20T22:50:21.085956Z
M2K,2021-12-20T22:48:56.807494Z
MES,2021-12-20T22:48:02.382587Z
MNQ,2021-12-20T22:47:14.852006Z
IWM,2021-12-18T07:36:14.033402Z
SPY,2021-12-18T07:35:02.266689Z
QQQ,2021-12-18T07:33:37.838936Z
ARKX,2021-12-18T07:32:13.708339Z
ARKF,2021-12-18T07:31:01.887652Z
ARKK,2021-12-18T07:29:44.051194Z
M2K,2021-12-18T07:28:14.496917Z
MES,2021-12-18T07:26:20.375002Z
MNQ,2021-12-18T07:24:31.973548Z
IWM,2021-12-17T01:40:12.932147Z
SPY,2021-12-17T01:39:01.104979Z
QQQ,2021-12-17T01:37:48.900999Z
ARKX,2021-12-17T01:36:19.182680Z
ARKF,2021-12-17T01:35:00.809131Z
ARKK,2021-12-17T01:33:49.373317Z
M2K,2021-12-17T01:32:37.550119Z
MES,2021-12-17T01:30:49.440037Z
MNQ,2021-12-17T01:28:54.942424Z
MNQ,2021-12-17T01:23:30.199800Z
IWM,2021-12-16T01:37:02.673425Z
SPY,2021-12-16T01:36:21.595764Z
QQQ,2021-12-16T01:35:38.623333Z
ARKX,2021-12-16T01:35:20.881905Z
ARKF,2021-12-16T01:34:26.328881Z
ARKK,2021-12-16T01:33:38.920817Z
M2K,2021-12-16T01:33:20.935501Z
MES,2021-12-16T01:32:20.890248Z
MNQ,2021-12-16T01:31:20.929616Z
IWM,2021-12-14T22:47:18.689298Z
SPY,2021-12-14T22:46:06.319925Z
QQQ,2021-12-14T22:44:42.210385Z
ARKX,2021-12-14T22:43:30.462471Z
ARKF,2021-12-14T22:42:18.640003Z
ARKK,2021-12-14T22:41:18.491083Z
M2K,2021-12-14T22:39:48.592866Z
MES,2021-12-14T22:39:00.260409Z
MNQ,2021-12-14T22:38:18.961112Z
IWM,2021-12-14T04:03:09.770952Z
SPY,2021-12-14T04:02:21.387443Z
QQQ,2021-12-14T04:01:57.609584Z
ARKX,2021-12-14T04:01:15.548035Z
ARKF,2021-12-14T04:00:27.347264Z
ARKK,2021-12-14T04:00:09.914053Z
M2K,2021-12-14T03:59:15.857079Z
MES,2021-12-14T03:58:10.246030Z
MNQ,2021-12-14T03:57:10.536551Z
IWM,2021-12-10T22:32:48.084623Z
SPY,2021-12-10T22:31:29.854978Z
QQQ,2021-12-10T22:30:24.144437Z
ARKX,2021-12-10T22:29:11.922053Z
ARKF,2021-12-10T22:28:11.996950Z
ARKK,2021-12-10T22:26:55.745274Z
M2K,2021-12-10T22:25:30.806661Z
MES,2021-12-10T22:23:36.454630Z
MNQ,2021-12-10T22:21:54.708440Z
IWM,2021-12-10T01:25:00.903528Z
SPY,2021-12-10T01:24:20.413117Z
QQQ,2021-12-10T01:23:36.882251Z
ARKX,2021-12-10T01:23:19.698068Z
ARKF,2021-12-10T01:22:25.018894Z
ARKK,2021-12-10T01:21:37.249304Z
M2K,2021-12-10T01:21:19.273726Z
MES,2021-12-10T01:20:19.187041Z
MNQ,2021-12-10T01:19:19.594907Z
IWM,2021-12-09T01:28:02.807046Z
SPY,2021-12-09T01:27:08.828514Z
QQQ,2021-12-09T01:26:20.800103Z
ARKX,2021-12-09T01:26:03.572124Z
ARKF,2021-12-09T01:25:10.199860Z
ARKK,2021-12-09T01:24:26.939644Z
M2K,2021-12-09T01:24:03.181588Z
MES,2021-12-09T01:23:03.096616Z
MNQ,2021-12-09T01:22:03.478037Z
IWM,2021-12-07T23:08:01.001563Z
SPY,2021-12-07T23:06:42.625876Z
QQQ,2021-12-07T23:05:19.044971Z
ARKX,2021-12-07T23:04:07.182178Z
ARKF,2021-12-07T23:03:01.092490Z
ARKK,2021-12-07T23:01:48.893722Z
M2K,2021-12-07T23:00:19.034355Z
MES,2021-12-07T22:59:25.084438Z
MNQ,2021-12-07T22:58:37.143727Z
IWM,2021-12-07T07:59:13.104521Z
SPY,2021-12-07T07:58:49.625953Z
QQQ,2021-12-07T07:58:01.401557Z
ARKX,2021-12-07T07:57:19.141882Z
ARKF,2021-12-07T07:56:49.259096Z
ARKK,2021-12-07T07:56:01.607293Z
M2K,2021-12-07T07:55:25.991727Z
MES,2021-12-07T07:54:02.048408Z
MNQ,2021-12-07T07:52:56.063149Z
IWM,2021-12-04T15:53:42.866910Z
SPY,2021-12-04T15:51:43.326957Z
QQQ,2021-12-04T15:49:43.031248Z
ARKX,2021-12-04T15:47:43.008209Z
ARKF,2021-12-04T15:45:43.008729Z
ARKK,2021-12-04T15:43:49.207608Z
M2K,2021-12-04T15:41:49.202001Z
MES,2021-12-04T15:38:55.707135Z
MNQ,2021-12-04T15:36:07.240026Z
IWM,2021-12-03T06:08:33.107454Z
SPY,2021-12-03T06:08:15.352858Z
QQQ,2021-12-03T06:07:21.129297Z
ARKX,2021-12-03T06:06:33.267525Z
ARKF,2021-12-03T06:06:15.202364Z
ARKK,2021-12-03T06:05:21.289581Z
M2K,2021-12-03T06:04:39.516902Z
MES,2021-12-03T06:03:27.828142Z
MNQ,2021-12-03T06:02:16.187795Z
IWM,2021-12-01T22:43:54.444554Z
SPY,2021-12-01T22:42:30.053341Z
QQQ,2021-12-01T22:41:11.988947Z
ARKX,2021-12-01T22:40:00.209077Z
ARKF,2021-12-01T22:38:54.484849Z
ARKK,2021-12-01T22:37:54.681138Z
M2K,2021-12-01T22:36:18.248037Z
MES,2021-12-01T22:35:18.121287Z
MNQ,2021-12-01T22:34:30.426831Z
IWM,2021-11-30T23:05:47.926452Z
SPY,2021-11-30T23:04:23.776152Z
QQQ,2021-11-30T23:03:06.080398Z
ARKX,2021-11-30T23:01:53.990949Z
ARKF,2021-11-30T23:00:47.785583Z
ARKK,2021-11-30T22:59:36.410191Z
M2K,2021-11-30T22:58:12.244223Z
MES,2021-11-30T22:57:17.908601Z
MNQ,2021-11-30T22:56:30.187540Z
IWM,2021-11-30T00:47:46.765003Z
SPY,2021-11-30T00:46:17.059395Z
QQQ,2021-11-30T00:45:05.165997Z
ARKX,2021-11-30T00:43:58.975764Z
ARKF,2021-11-30T00:42:52.637641Z
ARKK,2021-11-30T00:41:47.781664Z
M2K,2021-11-30T00:40:46.907264Z
MES,2021-11-30T00:39:46.826540Z
MNQ,2021-11-30T00:38:47.180686Z
IWM,2021-09-15T21:29:54.310772Z
SPY,2021-09-15T21:28:30.361956Z
QQQ,2021-09-15T21:27:18.380955Z
ARKX,2021-09-15T21:26:12.042067Z
ARKF,2021-09-15T21:25:07.558621Z
ARKK,2021-09-15T21:23:54.701484Z
M2K,2021-09-15T21:22:30.238856Z
MES,2021-09-15T21:21:30.019516Z
MNQ,2021-09-15T21:20:47.541367Z
IWM,2021-09-14T21:29:48.340283Z
SPY,2021-09-14T21:28:24.698264Z
QQQ,2021-09-14T21:27:18.351888Z
ARKX,2021-09-14T21:26:12.873286Z
ARKF,2021-09-14T21:25:06.511479Z
ARKK,2021-09-14T21:23:48.513705Z
M2K,2021-09-14T21:22:24.772881Z
